verb	label	sentence	start_char	end_char
looks	DYNAMIC	As he looks back he sees the shark turn and head towards him.	6	10
lie	DYNAMIC	"Aghast with confusion and knowing he can't lie the man replies, ""Well, that's true, I don't believe in you, but how about the shark?"	43	45
begin	STATIVE	"The Lord replies, As you wish,"" and the light retracted back into the heavens and the man could feel the water begin to move once again."	111	115
looks	DYNAMIC	As the atheist looks back he can see the jaws of the shark start to close down on him, when all of sudden the shark stops and pulls back.	15	19
carrying	STATIVE	Go to the nearest hockey rink and walk across the ice 20 times in your ski boots carrying two pairs of skis, accessory bag and poles.	81	88
happens	DYNAMIC	1- When computing, whatever happens, behave as though you meant it to happen.	28	35
runs	DYNAMIC	"He runs up to the customer's table, slaps five $100 bills down on it and says, ""You got me that time buddy, but I want you to know that's the first time in ten years we've been out of rye bread!"""	3	6
watching	STATIVE	"Grandma and Grandpa were sitting in their porch rockers watching the beautiful sunset and reminiscing about ""the good old days,"" when Grandma turned to Grandpa and said, ""Honey, do you remember when we first started dating and you used to just casually reach over and take my hand?"""	56	63
looked	DYNAMIC	Grandpa looked over at her, smiled and took her aged hand in his.	8	13
headed	DYNAMIC	Grandpa slowly got up from his rocker and headed into the house.	42	47
listening	STATIVE	"Look, says the first one, ""he's listening to the ground."	32	40
looks	DYNAMIC	Just then the Indian looks up.	21	25
looks	DYNAMIC	"The Indian looks up again and says, ""Ran over me a half a hour ago."""	11	15
consider	DYNAMIC	"In that case, said the young man, ""I wonder if you'd consider returning the hundred dollars I paid you to marry my wife and me last July."""	53	60
opposed	DYNAMIC	Rome did not create a great empire by having meetings, they did it by killing anybody who opposed them.	90	96
figured	STATIVE	A person who smiles in the face of adversity...probably has already figured out who's the scapegoat.	68	74
saves	STATIVE	Plagiarism saves time.	11	15
continue	DYNAMIC	The beatings will continue until morale improves.	18	25
called	STATIVE	Why is the third hand on the watch called the second hand?	35	40
made	STATIVE	"Why are they called ""stands"" when they are made for sitting?"	43	46
named	STATIVE	"The man answered, ""There is no one living here named Melvin."	47	51
called	DYNAMIC	"You just called this number and I told you that there is no Melvin here!	Now look here!"" came the heated reply. ""You just called this number and I told you that there is no Melvin here! You've got a lot of nerve calling again!"" The receiver slammed down hard."	9	14
see	STATIVE	"The father turned to his daughter and said, ""You see, that was anger."	49	52
dating	STATIVE	After digging to a depth of 100m last year, Russian scientists found traces of copper wiring dating back 1000 years, and came to the conclusion that their ancestors already had a telephone network one thousand years ago.	93	98
watching	STATIVE	Nelson Mandela is sitting at home watching TV and drinking a beer when he hears a knock at the door.	34	41
clutching	STATIVE	"When he opens it, he is confronted by a little Chinese man, clutching a clipboard and yelling, ""You Sign!"	60	68
got	STATIVE	"Nelson says to him, ""Look, you've obviously got the wrong man"", and shuts the door in his face."	44	46
got	STATIVE	You've got the wrong man!	7	9
looks	DYNAMIC	"The little Chinese man looks at him very puzzled, consults his clipboard, and says, ""You not Nissan Main Dealer?"""	23	27
explaining	DYNAMIC	A language instructor was explaining to her class that in French, nouns unlike their English counterparts, are grammatically designated as masculine or feminine.	26	35
split	DYNAMIC	So for fun she split the class into two groups appropriately enough, by gender and asked them to decide whether Computer should be a masculine or feminine noun.	15	19
stored	STATIVE	Even the smallest mistakes are stored in long-term memory for possible later retrieval; and	31	36
have	DYNAMIC	In order to get their attention, you have to turn them on;	37	40
waited	DYNAMIC	As soon as you commit to one, you realize that if you'd waited a little longer, you could have gotten a better model.	56	61
have	DYNAMIC	"If you ask again, I'll have to spank you!!"""	23	26
thought	DYNAMIC	"The boy thought it over and said, ""Well, I'll just run in and out and in"	8	14
keep	DYNAMIC	"and out and keep slamming the door until St. Peter says 'For Heaven's sake, Jimmy, come in or stay out!'"""	12	15
carrying	STATIVE	The church lights were lowered, and then the choir came down the aisle, carrying lighted candles.	72	79
sat	DYNAMIC	"One little girl was wearing a particularly pretty dress and, as she sat down, the pastor leaned over and said to her, ""That is a very pretty dress."	68	70
traveling	STATIVE	An American, traveling on a train in Europe, met a Cuban tobacco grower, a Russian vodka distiller and a lawyer.	13	21
sat	STATIVE	The American businessman sat in quiet contemplation for several minutes then arose and threw the lawyer out the window.	25	27
following	STATIVE	and he flew out of the cave with hundreds of bats following close behind him.	50	58
multiply	DYNAMIC	666 is exactly 2.138 times the height of the pyramid of Cheops and if we multiply the height of the pyramid by 3.36 million, we get the EXACT, let me repeat that - EXACT - distance to the moon.	73	80
provides	STATIVE	This provides CONCLUSIVE proof that Bill Gates is either an extraterrestrial or a pyramid.	5	12
falls	DYNAMIC	If however, your copy falls over, you must right your copy.	22	26
goes	DYNAMIC	An old guy who'd spent his whole life as a recluse in the desert goes to visit a friend.	65	68
has	DYNAMIC	Every morning an antelope wakes up knowing it has to outrun the fastest cougar or it will be killed.	46	48
has	DYNAMIC	Every morning a cougar wakes up knowing it has to outrun the slowest antelope or it will starve.	43	45
lost	STATIVE	There's this guy who had been lost and walking in the desert for about 2 weeks.	30	33
goes	DYNAMIC	"He goes back into the house and asks the missionary, ""Could I borrow your horse and give it back when I reach the town?"""	3	6
paying	STATIVE	"Not paying much attention, the man says, ""Sure, OK."" So he gets on the horse and says, ""Thank God"" and the horse starts walking."	4	9
lets	DYNAMIC	"The man sinks slowly back into the saddle, sighs deeply, and lets out a heartfelt, ""Thank God"""	61	64
sat	DYNAMIC	The Lone Ranger and Tonto walked into a bar and sat down to drink a beer.	48	50
looked	DYNAMIC	"The cowboy looked at the Lone Ranger and said, ""I just thought you'd like to know that your horse is about dead outside!"""	11	16
want	DYNAMIC	"The Lone Ranger turned to Tonto and said, ""Tonto, I want you to run around Silver and see if you can create enough of a breeze to make him start to feel better."""	52	55
looks	DYNAMIC	"The cowboy looks him right in the eye and says, ""Nothing, but you left your Injun runnin'."""	11	15
suggests	DYNAMIC	"(Chatterbox would prefer not to invoke the phrase ""intellectual dishonesty,"" because it's pompous and falsely suggests that only intellectuals can be intellectually dishonest."	110	117
describes	STATIVE	But Chatterbox doesn't know any other easily understandable phrase that describes this particular kind of offense.)	72	80
counted	DYNAMIC	For the purposes of this survey, the Wall Street Journal will be counted as a separate and distinct publication from the Journal 's editorial page, because, in essence, it is.	65	71
continues	DYNAMIC	The Journal editorial page continues not to acknowledge that Norma Kelsey, the friend and employee to Juanita Broaddrick who is one of two people partially corroborating Broaddrick's rape accusation, is the daughter of a man whose murderer was pardoned by Gov.	27	35
considered	DYNAMIC	"Chatterbox considered but rejected the idea of awarding Rabinowitz bonus points for having ""eventually convinced"" Broaddrick to grant an interview to the New York Times (as the Times reports in today's story)."	11	20
permit	STATIVE	But the Scientific Method does not permit any tinkering with the Indis Index 's scoring procedures.	35	40
is	DYNAMIC	Which is what Journal news employees are instructed to say whenever the editorial page causes them cringing embarrassment.	6	7
explains	DYNAMIC	For her part, Rabinowitz explains to Chatterbox that her efforts on behalf of the Times were more indifferent than the Times made them sound.	25	32
called	DYNAMIC	She said she would if he called again.	25	30
denies	DYNAMIC	By running against Giuliani (who has been reported in Vanity Fair to have a mistress -- he denies it -- and, by all accounts, has a sham marriage), the first lady could exact symbolic revenge on her philandering husband while advancing the fortunes of the Democratic party at the same time!	91	96
given	STATIVE	But, er, wouldn't that be kind of a risky strategy, given his own problematic union?	52	56
appears	DYNAMIC	Giuliani's estrangement from his wife, Donna Hanover, is made clear in an interview with Hanover that appears in today's New York Times .	102	108
claim	DYNAMIC	(One of the three is Kelsey's sister, whose motives can be similarly questioned; the other two heard Broaddrick tell her story but did not see her bruised lip, as only Kelsey and Broaddrick's husband claim to have.)	200	204
is	DYNAMIC	I think that is why I welcomed doing a book -- it gives one the ability to use so much of what is left on the cutting room floor of daily journalism.	13	14
share	DYNAMIC	Most often reporters recount these tales with each other and with their sources rather than share them with the general public.	92	96
written	DYNAMIC	I often wonder when a really great fictional book will be written about this era (probably decades and decades hence as it is too close).	58	64
painted	DYNAMIC	The smart-boy technologist is now being painted as the whiny bully.	40	46
look	STATIVE	While I did not attend the trial -- I was lucky to be able to read your highly amusing and informative dispatches, several of which made me spit up my lunch laughing -- it certainly seemed as if the image of Bill Gates took a beating and the insular culture of Microsoft did not look so good.	279	282
looked	STATIVE	Out in the D.C. area, they looked positively exciting next to all the government-oriented contractors.	27	32
am	DYNAMIC	Now I am getting way too philosophical, but this is my final missive, so why not?	6	7
stick	STATIVE	As for me, I'll stick with my philosophy of reporting and, I guess, life -- nobody knows.	16	20
fail	DYNAMIC	While writers whose business it is to be witty often fail to produce, grave authors occasionally are mirthful when laughter is farthest from their minds.	53	56
follows	STATIVE	From a lifetime of undisciplined reading with innocent pencil in hand and malice prepense in mind, I have gleaned a harvest of what I am pleased to denominate Red Pants items, a sampling of which follows.	196	203
share	DYNAMIC	In this trousers category, Thompson must share the limelight with Coleridge by virtue of the line in Kubla Khan :	41	45
is	DYNAMIC	Since everthing is to be found in Shakespeare, it is not surprising that on at least two occasions the Board has contributed his own Red Pants nuggets.	16	17
assured	DYNAMIC	There is that oft-quoted example, near the opening of Trial by Jury , where Defendant asks, “Is this the Court of the Exchequer?” and having been assured that it was, Defendant (aside) commands himself to “Be firm, be firm, my pecker.” The British, of course, do not giggle at this bit of Gilbertian dialogue, since to them pecker means `courage,' as in the phrase “to keep your pecker up.” Two of the more common examples of British-American divergence of usage are screw and knock up .	146	152
making	DYNAMIC	In Vanity Fair (Chapter 39), the niggardly Sir Pitt was not nearly the aerial acrobat your American sophomore might fancy him to be when he “screwed his tenants by letter.” He was simply making extortionate exactions upon his wretched lessees.	187	192
had	DYNAMIC	In Chapter VI of Vanity Fair , Thackeray reports on Joe Sedley's drunken avowal to wed Becky Sharp the next morning, even if he had to “knock up the Archbishop of Canterbury at Lambeth,” in order to have him in readiness to perform the ceremony.	128	130
knocked	STATIVE	In Great Expectations (Chapter VI), we learn how “... Mr. Whopsle, being knocked up, was in such a very bad temper.” And who could blame him?	73	79
suggests	STATIVE	Many a raucous snigger has been sniggered from the pure-minded use of a word that suggests unmentionable parts of the human body.	82	89
take	STATIVE	It does not take a too-wicked mind to read into such terms meanings of a lewd nature.	12	15
reads	DYNAMIC	Who can, for instance, blame a youth with but a mildly evil disposition from guffawing when he reads in Pater's Marius The Epicurean (Chapter V) a reference to Apuleius' The Golden Ass noting that “all through the book, there is an unmistakably real feeling for asses ...”?	95	99
was	DYNAMIC	A Gentle Knight was pricking on the plaine.	16	18
disclosed	STATIVE	2—Cities of the Plain (translated by C. K. Scott Moncrieff—Modern Library, N.Y., 1934, Page 90) to cause the Duchess to say, “Apart from your balls, can't I be of any use to you?” There is a famous letter penned by Rupert Brooke to his friend, Edward Marsh, from somewhere near Fiji (p. 463 of A Treasury of the World's Great Letters , Simon and Schuster, N.Y., 1940) in which he relates how he sends his native boy up a palm tree, where he “cuts off a couple of vast nuts ...” (macho victim not disclosed).	496	506
offers	DYNAMIC	In the first chapter of Uncle Tom's Cabin , Miss Stowe offers a dialogue between Haley and Mr. Shelby, part of which goes, “ `Well,' said Haley, after they had both silently picked their nuts for a season, `what do you say?'	55	60
found	STATIVE	A variation of this theme is found in Robert Browning's The Flight of the Duchess (Section V):	29	33
acknowledged	STATIVE	even though it is generally acknowledged that Paris is número uno in this area of human activity.	28	39
describes	DYNAMIC	An arresting one occurs in A Passage to India (Chapter XXI) in which Forster describes a small building as “a flimsy and frivolous erection,” while in The Mayor of Casterbridge (Chapter XVI) the Mayor himself “beheld the unattractive exterior of Farfrae's erection.” A phrase can paint an astonishing picture for the reader.	77	85
describes	DYNAMIC	Consider Dickens' sharp image in Bleak House (Chapter LIV) when he describes how “Sir Leicester leans back in his chair, and breathlessly ejaculates.... ” Or, in Nicholas Nickleby (Chapter XLVII), where that admirable novelist graphically portrays how old Arthur Gride “again raised his hands, again chuckled, and again ejaculated.” And in his short tale, Lionizing , Edgar Allan Poe is quite candid in describing the reaction of one of his characters: “ ` Admirable! '	67	75
thrown	STATIVE	he ejaculated, thrown quite off his guard by the beauty of the manoeuvre.”	15	20
bound	STATIVE	His head was bound with pansies over-blown,	13	17
refers	DYNAMIC	in his dialogue with Desdemona and Emilia on the praise of women, Iago refers to the kind that	71	76
is	DYNAMIC	And what in the world is one to make of William Butler Yeats's startling revelation in his poem Lapis Lazuli (from Last Poems ) that	22	23
feels	DYNAMIC	In The Bride of Lammermoor (Chapter VI) Bucklaw vows, “I will chop them off with my whinger,” and one feels quite let down when he learns that a whinger is but a whinyard, which is merely a short sword.	102	106
startled	STATIVE	“Turning a corner of the Mazza Gallerie into a women's tennis store, I was startled to see ... hordes of giggling high school girls ... ” [From an article by Dorothy Gilliam in the Washington Post , .	75	82
called	STATIVE	If you are a fan of old-fashioned jazz—what is now known as “traditional” or “trad” jazz—you are familiar with one of the standard “jump tunes” of the genre—a tune most commonly called Muskrat Ramble .	178	183
labeled	STATIVE	My memory is rickety, but I am sure my first recording was labeled MUSKRAT RAMBLE, and I think, though I am less sure, that it was played by the late “Muggsy” Spanier, who was, to my mind, one of the greatest of jazz trumpeters.	59	65
said	STATIVE	The label said, MUSKAT RAMBLE.	10	14
called	STATIVE	(This, remember, was in my youth, and it was a time when typographical errors were called typographical errors, not typos—at least by kids in junior high.)	83	88
had	DYNAMIC	Not only had they left out the “R”; they'd changed the “K” to “C”.	9	11
made	STATIVE	Now, it made no sense at all.	8	11
called	STATIVE	On the other hand, I reasoned, if there were, in fact, some sort of cat called a muscat, perhaps it wasn't so outrageous.	72	77
looked	DYNAMIC	I looked up muscat in my Webster's and found that it is a `variety of grape.'	2	7
committed	DYNAMIC	Now might be as good a time as any to reveal a theft I committed at an Air Force Base near Seymour, Indiana.	55	63
called	DYNAMIC	Among Bessie's numbers were Dying Gambler's Blues, Sing Sing Prison Blues , and one I had never heard called Black Mountain Blues , which has the imcomparable lines,	102	107
shoot	STATIVE	Goin' cut him if he stan' still, goin' shoot him if he run.	39	43
kept	STATIVE	I kept them in good shape until my last 78-rpm turntable died.	2	5
credited	STATIVE	End of digression and back to MUSKRAT-KAT-CAT: Muskrat Ramble is credited to Edward “Kid” Ory and Ray Gilbert.	65	72
played	STATIVE	“Kid” Ory played great jazz trombone.	10	15
appear	DYNAMIC	They do not appear to do much rambling.	12	17
assume	STATIVE	It is the same reason most of us, I assume, have heard, “He's in the hospital with prostrate trouble.” Prostrate is a more common word that prostate , so prostrate is what we get.	36	42
pushing	STATIVE	I got a strange sort of corroboration from my good friend Rosy McHargue, who is now pushing eighty-seven years and has spent most of his life playing clarinet and sax with some of the best jazzbands—Benny Goodman, Red Nichols, Ted Weems, and a slew of others.	84	90
find	STATIVE	I find a muskrat ramble difficult to imagine visually.	2	5
refer	STATIVE	I refer to the first sentence of your article about the Longman Dictionary [XV,1].	2	6
describes	DYNAMIC	But she betrays her own elitist insensitivity when she describes a flight attendant as “the person who passes peanuts on an airplane.” I hope Ms./Miss/Mrs.	55	63
indicating	STATIVE	In addition, there was a rich collection of words relating to water, not necessarily indicating its presence.	85	94
indicate	STATIVE	“Hoping to find a lake” is included, though of course it doesn't indicate the presence of water.	65	72
appear	DYNAMIC	Gum-trees or rocks (in areas of sand) appear as signs of possible water.	38	43
refers	DYNAMIC	Gregory uses stream in the way normal in England; Giles consistently refers to gens in the hills of central Australia, though glen is not current (outside place-names) in contemporary Australian English.	69	74
describes	DYNAMIC	Carnegie also describes namma-holes and soaks as sources of water.	14	22
sunk	STATIVE	Soaks are shallow wells sunk near the base of an outcrop to tap an underground reservoir.	24	27
did	STATIVE	Perhaps these words did not really fit.	20	22
lists	DYNAMIC	Fowler lists five instances where a careless writer can go wrong.	7	11
appears	STATIVE	Her suitor, Neigh, who had proposed marriage in a previous chapter, appears somewhat apprehensive at Ethelberta's suggestion.	68	74
poses	DYNAMIC	Mark Twain poses us a little mystery in Pudd'nhead Wilson: which knife does the killing?	11	15
detected	DYNAMIC	I was asleep, but Luigi was awake, and he thought he detected a vague form nearing the bed.	53	60
aimed	DYNAMIC	Suddenly that native rose at the bedside, and bent over me with his right hand lifted and a dirk in it aimed at my throat; but Luigi grabbed his wrist, pulled him downward, and drove his own knife into the man's neck.	103	107
speak	STATIVE	Journalist Charles Rappaport once quipped, “I speak ten languages—all of them Yiddish.”	46	50
holds	DYNAMIC	Quickly she holds up a cross.	12	16
speak	STATIVE	Most of us already speak a fair amount of Yiddish (Yinglish) without fully realizing it.	19	23
lists	STATIVE	Webster's Third New International Dictionary lists about 500 Yiddish words that have become part of our everyday conversations, including:	45	49
offers	DYNAMIC	In his delightful study, The Joys of Yiddish (McGraw-Hill 1968), Leo Rosten offers two classic definitions.	76	81
defined	DYNAMIC	A chutzpanik may be defined as the man who shouts `Help!	20	26
express	DYNAMIC	oy not so much a word as an entire vocabulary, as Rosten observes: “can express any emotion, from trivial delight to the blackest woe.”	72	78
assigned	STATIVE	Yiddish is especially versatile in describing those poor souls who inhabit the world of the ineffectual, and each is assigned a distinct place in the gallery of pathetic types: schmo, schmendrik, schnook, schmegegge, schlep, schlub, schmuck, putz, klutz, kvetch , and nudnik .	117	124
has	DYNAMIC	(And the nebbish is the one who has to clean it up.)	32	34
reminds	STATIVE	Which reminds us of the zaftig `buxom, well-rounded' blonde who wore an enormous diamond to a charity ball.	6	12
happens	STATIVE	“It happens to be the third most famous diamond in the whole world,” she boasted.	4	10
called	STATIVE	“The first is the Hope diamond, then comes the Kohinoor, and then comes this one, which is called the Lipschitz.”	91	96
offers	STATIVE	The work in question offers nothing regarding language, so its review here is ancillary to the main function of VERBATIM.	21	26
praised	STATIVE	Because writing an unfavorable review of a (bad) feminist book would be tantamount to treachery, such books are often unjustifiably praised, as was the case with this work by Rosalind Miles, which was well received on its publication in June.	132	139
bear	DYNAMIC	One might like to believe that this gives her the cachet of authoritative scholarship, but the text does not bear out the promise.	109	112
suggests	DYNAMIC	Miles suggests that such domination is a recent phenomenon—only a couple of thousand years old—for she points to the clear superiority of women in (primitive) religions and matriarchies, right on through to the Egyptian dynastic rulers.	6	13
suggests	DYNAMIC	At one point, she gets so carried away with her thesis that she suggests that females were responsible not only for all of human evolutionary biology but for the very notion of counting (in order to keep track of menstruation) and, probably by the same token, astronomy.	64	71
built	DYNAMIC	In the good old days, we were taught that the pyramids were built by tens of thousands of slaves.	60	64
built	DYNAMIC	Here comes Miles, authoritatively quoting Diodorus, the Greek historian, who recorded (60-30BC) that “innocent women even swelled the ranks of pitiful slaves whose forced labour built the pyramids:	178	182
accept	DYNAMIC	It is even less comprehensible how a modern researcher could accept it and have the effrontery to promulgate it.	61	66
is	DYNAMIC	From the poet Sappho, who in the sixth century BC was the first to use the lyric to write subjectively and explore the range of female experience, to the Chinese polymath Pan Chao (Ban Zhao), who flourished around AD 100 as historian, poet, astronomer, mathematician and educationalist, the range is startling.	297	298
was	DYNAMIC	Clearly, this rosily checkered past was soon to be replaced, chiefly, it seems, as Judeo-Christian-Islamic-Confucian-Buddhist cultures flourished.	36	38
continues	DYNAMIC	Miles continues:	6	15
following	STATIVE	Citing a Judaic law-book of the 16th century which identified a woman for the days preceding, during, and following her period as niddah `impure,' Miles has the lack of taste to write the following:.	106	114
account	STATIVE	Although this might help explain the Judeo-Christian-Muslim tendencies to subjugate women, treating them essentially as chattel, it does not account for a similar treatment accorded them in other cultures, notably that of Japan.	141	147
held	STATIVE	Campbell held that the ancient mythologies and religions are allegorical and that there was no real distinction between gods and goddesses, who were given sexual identity when in human form only to make them more meaningful.	9	12
gone	STATIVE	Most of the relies from the past are gone forever, destroyed by the plows of countless generations of farmers, reduced to rubble by erosion, by conquerors, by prehistoric (and modern) urban developers, by fire and flood, and just by time.	37	40
become	STATIVE	The interest in man's forebears did not become fashionable upon the publication, a few years ago, of Roots : on a far larger scale, we have been trying to discover all we can about the origins not of men but of man.	40	45
documented	STATIVE	Even the remnants we have from early languages that had a writing system are relatively sparse: Classical Latin and Greek, Hebrew, and a few other languages are better documented than others; but for most all we have to go on are a handful of tablets here, a few inscriptions there, barely enough in many cases to allow us to identify the language, let alone draw any conclusions regarding its structure or meaning.	168	177
missed	DYNAMIC	The total was approximately 2800, but that is probably only a vague estimate: he undoubtedly missed some; some have sprung up since his time (modern Hebrew, for instance); and some have vanished.	93	98
did	STATIVE	Some, like French, Spanish, Italian, and Portuguese, had more in common with one another than they did with, say, German, English, Swedish, Danish, and Dutch, which, in turn, bore only a remote resemblance to Russian and Polish, on the one hand, and the two extant varieties of, say, Gaelic, on the other.	99	101
runs	DYNAMIC	One rapidly runs out of hands and must resort to fingers and toes, for after years of laboriously categorizing these languages, the number of different main branches (called families and subfamilies) came to about ten.	12	15
classified	STATIVE	Although certain other languages were geographically nearby, it was impossible to establish any resemblances between them, hence Basque, for example, is not classified as being in the same family with other European languages, nor are Hungarian and Finnish, both of which belong to their own group.	157	166
linked	DYNAMIC	At the conclusion of this vast exercise, done without the aid of computers, there emerged a pattern of familial relationships that linked together languages spoken, in earlier times, from Britain as far east as Chinese Turkestan and from India as far north as Lappland.	131	136
drawn	DYNAMIC	The languages discussed here are what are usually called the Indo-European family; similar family trees could be drawn for the Semitic languages, Sino-Tibetan, Japanese, Bantu, Malayo-Polynesian, and so on.	113	117
considered	STATIVE	Each is a distinct phylum; although there may be word-borrowing among them, lexicon is considered less important in the classification of languages than structure and grammar.	87	96
written	DYNAMIC	It is important, too, to note that writing systems are irrelevant: for instance, Polish is written (today) using the Roman alphabet, but Russian, a related Slavic language, uses the Cyrillic; Yiddish, a Germanic language, is written in Hebrew characters; Latin, Greek, and Sanskrit, which resemble one another rather closely in some respects, all use different alphabets; and early examples, utterly unrecognizable to untrained readers of modern languages, were written in cuneiform, quite suitable for writing on soft clay tablets with a pointed stylus, and hieroglyphics.	91	97
correlated	DYNAMIC	But only rarely did they collaborate and, with few exceptions, their work was not correlated in a systematic way.	82	91
take	STATIVE	In many other places, the ancient sites lay buried—and still do—beneath modern cities: modern property owners quite understandably take a dim view of tearing down their buildings on the off chance that the remnants of an ancient town will be found several yards below.	131	134
yield	DYNAMIC	But there, as everywhere else, nothing can interfere with progress and, regardless of the finds and their importance, the archaeologist must eventually yield to the bulldozer.	152	156
provide	DYNAMIC	Notwithstanding, even the brief glimpses afforded by such investigations can provide some insight into civilizations that existed hundreds or, in some cases, thousands of years earlier.	77	83
descended	STATIVE	That is not entirely true, for linguists know too much about language to suggest that there ever was, literally, a single language from which all Indo-European languages descended.	170	179
referred	DYNAMIC	Nonetheless, it is convenient to think about the existence of a group of proto-dialects which can be referred to as Proto-Indo-European.	101	108
was	DYNAMIC	It seems only natural that once an original language, or Ursprache , was posited, the next step was to speculate on its source, or Urheimat .	69	71
is	DYNAMIC	That is what Renfrew has tried to do.	5	6
modified	DYNAMIC	Essentially, he proposes that the parent of all Indo-European languages was itself born in central Anatolia, whence it spread eastward, westward, and northward, being modified by the influences of the languages with which it came into contact, till it ultimately emerged in its recognizable, modern manifestations which we categorize into Germanic, Hellenic, Italic, Indo-Iranian, Anatolian, Armenian, Celtic, Tocharian, Albanian, and BaltoSlavic.	167	174
separated	DYNAMIC	Using the evidence available, Renfrew contends that the original Indo-European language, closely related to Hittite, separated after 6500 BC, with the IE languages of western Europe developing from western Anatolia and those of Iran, India, and Pakistan from the eastern division.	117	125
dealing	DYNAMIC	Unfortunately, the presentation of his linguistic argument, where the author is clearly treading on more speculative ground than in those parts dealing with outright archaeology, where he is on more familiar territory, is disorganized and repetitious.	144	150
provides	STATIVE	Nevertheless, good books on archaeology assimilable by laymen are not easy to find, and if the reader can tolerate its shortcomings and is not overly concerned about the precise birthplace of Indo-European, Archaelogy & Language provides an interesting march through the millennia of prehistory in seven-league boots.	229	236
called	DYNAMIC	I called up the synonyms for the adj and the following appeared:	2	7
missing	DYNAMIC	However, when I highlighted antecedent , what appeared on the screen was the same list of synonyms but with antecedent missing, and preceding had reappeared.	119	126
works	DYNAMIC	It works with a hard disk or with a set of floppies and can be used with 29 popular word-processing programs.	3	7
listed	STATIVE	(That was the number listed when I received my copy; it might have increased.)	21	26
called	DYNAMIC	It has a useful “Help” feature that can be called upon at any stage.	43	48
documented	DYNAMIC	The article is a classic, probably the first on the subject to appear in a scholarly journal, though there are other informal references to family language, some of which are documented by Dickson in his Bibliography.	175	184
alternating	DYNAMIC	The soldier in charge would command, after each firing, that the rank on the scaffold step down and be replaced by the rank that had just reloaded, thus alternating ranks and sustaining the rifle fire.	153	163
bear	STATIVE	Mr. Davidson's observations on the Scottishness of Chambers 20th Century Dictionary [XV,1] bear out my own formed over sixteen years of using one.	91	94
employed	DYNAMIC	The monkey on board ship was a lad employed to fetch supplies—powder and so forth—to the guns.	35	42
kept	STATIVE	The word might also have been used for a receptacle near the guns where powder and balls were kept.	94	98
said	STATIVE	They can still be found today in so-called “gift shops.” Usually, they come in sets of three, one with its hands over its eyes, one over its ears, and one over its mouth: they were said to represent “See no evil, Hear no evil, Speak no evil.” There were various whimsical variants.	181	184
representing	STATIVE	The main problems are representing consonant clusters and word-final consonants.	22	33
come	STATIVE	My absolute favorite of these semantic mistakes, however, does not come from the problem of sound.	67	70
expresses	STATIVE	Japanese has a verb inflection which expresses causation or permission—in English, “to make someone or to let someone do something.” One day during a university English class, a very discomfited student, after frantic and obtrusive dictionary work, handed a colleague of mine a scrap of paper.	37	45
written	STATIVE	On it was written this sentence: “Please make me go to the bathroom.”	10	16
strikes	DYNAMIC	Times , may agree with me in the contention that when he writes about language he seems to be writing on his day off: I cannot put my finger on why, but “On Language” always strikes me as an excruciating effort to be cute.	174	180
keep	STATIVE	In part, that is attributable to the designation of his correspondents, who keep him informed on language that is not within earshot, as the “Lexicographic Irregulars,” an amusing reference the first time or two it was used but now beginning to cloy.	76	79
prove	STATIVE	More often than it might prove of interest to me, personally, Safire deals with insiders' language in Washington (where he is based) or with trivialities uttered by some politico.	25	29
accept	DYNAMIC	We are descriptive of the usages we accept and prescriptive—perhaps proscriptive would be more descriptive—of those we do not like.	36	41
expresses	DYNAMIC	At least Safire expresses an opinion; whether the reader agrees with him is another matter, as are the questions of his accuracy, which arise fairly often, and that of the suitability of his style, which, as far as I know, has not been broached before.	16	24
find	STATIVE	It ill behooves me, excoriated recently as enamored of the “cheap larf,” to criticize Safire's arch puns, which permeate—“enliven” is probably the word his editor would use—his articles, but I find some kinds of humor unsuitable for reading, however they might evoke a chuckle when uttered viva voce .	193	196
makes	STATIVE	Writing containing such labored figures makes for hard reading.	40	44
find	STATIVE	I am interested in what Safire has to say about language but find myself stymied: I get the feeling that he has deliberately created a minefield of interruptions in thought through which I must pick my way to the end.	61	64
Look	DYNAMIC	You Could Look It Up is the umpteenth collection of Safire's columns and, like the previous collections, contains a selection of letters from readers.	10	13
missed	STATIVE	It is those that are so sorely missed in his column.	31	36
documents	DYNAMIC	For one thing, he documents many neologisms, an activity that endears him to many working lexicographers.	18	26
say	STATIVE	...Einstein's Special Theory of Relativity does not say that E = MC² and in leap year MC³.	52	54
does	STATIVE	Indeed it does not.	10	13
say	STATIVE	But it does say E = mc² ; the version with the capital M and C is, essentially, meaningless to those familiar with the conventional symbolism used in physics.	12	14
called	STATIVE	True, one can find different from , etc., in an entry so headed, but for absolute constructions one is referred to an entry called “Covered with onions, relish, and ketchup, I ate a hotdog at the ball-park.” If the user wants to find out about misplaced adjectives and adverbs , reference is made to the entry “Electric shaver for women with delicate floral design on the handle.” A search for only would be futile.	124	129
put	STATIVE	Perhaps the subject and treatment of usage need some lightening up, but I am hard put to agree that they are quite as frivolous and light-headed as this book would have us believe.	82	84
born	STATIVE	A sense of humor about a subject is born of a feeling of security about it, but security is the one characteristic often lacking among those who would use Current American Usage .	36	39
provide	DYNAMIC	All of which is to say that the book is an interesting work on the language and contains accurate, though longwinded information about what it covers, “interesting and useful facts about American English.” Its only real faults are its title, which belies the content, the cutesy headings, and the lack of a truly detailed index: self-indexing does not provide coverage of sufficient detail.	352	358
